Частотность букв русского алфавита
Буква 	Абс. частота 	Ранг 
 
1  	а	40487008	3	
2  	б	8051767	21	
3  	в	22930719	9	
4  	г	8564640	19	
5  	д	15052118	13	
6  	е	42691213	2	
7  	ё	184928	33	
8  	ж	4746916	25	
9  	з	8329904	20	
10  	и	37153142	4	
11  	й	6106262	23	
12  	к	17653469	11	
13  	л	22230174	10	
14  	м	16203060	12	
15  	н	33838881	5	
16  	о	55414481	1	
17  	п	14201572	14	
18  	р	23916825	8	
19  	с	27627040	7	
20  	т	31620970	6	
21  	у	13245712	15	
22  	ф	1335747	31	
23  	х	4904176	24	
24  	ц	2438807	28	
25  	ч	7300193	22	
26  	ш	3678738	26	
27  	щ	1822476	29	
28  	ъ	185452	32	
29  	ы	9595941	17	
30  	ь	8784613	18	
31  	э	1610107	30	
32  	ю	3220715	27	
33  	я	10139085	16	
