слово	сумма частот букв	кол-во оригинальных букв
осина	194520552	5
сонет	191192585	5
океан	190085052	5
тенор	187482370	5
икона	184546981	5
талон	183591514	5
икота	182329070	5
сиена	181797284	5
осетр	181270529	5
отвес	180284423	5
отсев	180284423	5
совет	180284423	5
салон	179597584	5
нотка	179014809	5
опиат	178877173	5
патио	178877173	5
виола	178215524	5
олива	178215524	5
манто	177564400	5
малое	177025936	5
омела	177025936	5
опера	176711099	5
сенат	176265112	5
стена	176265112	5
ситро	175732458	5
тоник	175680943	5
аксон	175020879	5
носка	175020879	5
отсек	175007173	5
волан	174901263	5
волна	174901263	5
автор	174370003	5
втора	174370003	5
отвар	174370003	5
рвота	174370003	5
тавро	174370003	5
товар	174370003	5
масон	173570470	5
осман	173570470	5
место	173556764	5
видео	173241673	5
сотка	172802968	5
тоска	172802968	5
отвал	172683352	5
рента	172554897	5
венок	172528763	5
питон	172229046	5
номер	172064460	5
радио	172023574	5
ленок	171828218	5
носик	171687013	5
оникс	171687013	5
бетон	171617312	5
навет	171568791	5
коран	171310664	5
крона	171310664	5
норка	171310664	5
рокан	171310664	5
орден	170913518	5
весло	170893627	5
лента	170868246	5
налет	170868246	5
сатин	170727041	5
опека	170447743	5
свора	170376073	5
стадо	170201617	5
невод	169927412	5
танго	169925980	5
норма	169860255	5
роман	169860255	5
метро	169846549	5
затон	169691244	5
котел	169610307	5
леток	169610307	5
телок	169610307	5
исток	169469102	5
стоик	169469102	5
батон	169413107	5
стопа	169351071	5
отлив	169349486	5
актор	169092753	5
синод	169085662	5
оазис	169011575	5
амвон	168874149	5
народ	168709313	5
радон	168709313	5
осень	168356228	5
жетон	168312461	5
омлет	168159898	5
квота	168106647	5
сезон	167901519	5
напор	167858767	5
весна	167574861	5
навес	167574861	5
ландо	167022662	5
тиран	167016826	5
отдел	167008956	5
диета	167004451	5
минор	166526389	5
арест	166343056	5
натек	166291541	5
нолик	166290147	5
полет	166158410	5
тепло	166158410	5
ротик	165758887	5
