слово	сумма а.частот букв
аббат	80159745
абвер	138077532
абзац	59307486
аборт	159491051
абрек	132800282
абрис	137235782
абхаз	61772855
аванс	124883648
авеню	143168536
аврал	109564726
автор	174370003
агенс	153208782
агент	157202712
агнец	128020549
агуша	65976098
адепт	144052881
адрес	149774204
азарт	104354707
азиат	117591024
акрил	141440618
аксон	175020879
актер	156369485
актив	149845308
актор	169092753
акула	93616363
акциз	106062330
акция	107871511
алеут	150275077
алиби	107922091
алкаш	84049389
аллах	67621358
аллея	115547480
аллюр	89854722
алмаз	87250146
алтын	137772974
алыча	79613316
альфа	72837542
амбал	86972009
амбар	88658660
амвон	168874149
амеба	107433048
ампер	137499678
ампир	131961607
анаша	78004627
ангар	106807354
ангел	147811916
анион	166893512
анонс	157367410
анчар	105542907
аорта	151439284
арбуз	94031216
аргон	162221835
аргус	113841225
ареал	129325220
арена	140933927
арест	166343056
ариец	146686995
аркан	115896183
армия	127899120
армяк	108399447
архив	129391870
аршин	139074594
асана	101952929
аскер	152375555
аскет	160079700
аспид	134520880
астма	115938078
астра	123651843
аська	94552130
атака	89761447
атлас	121965192
атлет	137029365
атолл	149752633
аудит	137558950
афера	108430793
афиша	82654635
ахилл	104774500
ацтек	134891467
ашрам	84285631
бабай	54645037
бабка	66192244
багаж	61850331
багет	131415598
багор	136434721
бадья	82514591
базар	80785504
базис	121648861
байда	69697155
байка	72298506
бакен	142722338
балда	85821067
балет	145081132
балка	88422418
балык	98018359
банан	82377656
банда	97429774
банка	100031125
барак	90109069
баран	106294481
баржа	77202516
барий	115715004
барин	143447623
барка	90109069
барон	161708962
барыш	85730279
басня	120143781
басок	149233765
батог	144138866
батон	169413107
батут	93405457
батыр	113672511
бахча	60743144
бачки	110645579
бачок	128906918
башка	69870982
башли	111600829
башня	96195479
бегун	106392213
бедро	145126404
бекон	157649811
белка	131113631
белок	146041104
белый	88675357
белье	81757767
беляк	100765708
берег	83224445
берет	106280775
бетон	171617312
бивак	126276105
бидон	149510389
бизон	142788175
билет	141747266
бином	150661331
биржа	114355658
бирка	127262211
бирюк	89995918
бисер	139439987
битва	140243606
биток	149893829
битум	106274651
битье	128301705
битюг	88611234
благо	134748070
блажь	84300478
бланк	122261299
блеск	118253663
блоха	131087606
блуза	92344565
блюдо	103969255
блядь	64257757
бляха	85812210
бобби	100619390
бобер	130074286
бобик	118272859
богач	119818089
бодун	125602959
божок	85866633
бойня	113550476
бокал	143836899
болид	137901682
бомба	120156316
бонза	146122041
бонна	137792137
бонус	138177881
бордо	102435191
борец	132513093
боров	110313792
борок	105036542
босяк	118885842
ботва	158504945
ботик	149893829
бочка	128906918
бочок	88419910
брага	81020240
брань	115079094
брасс	100082640
брейк	98419536
бремя	101001950
бренд	123550804
брешь	87123156
бридж	88920768
бровь	119098405
бронх	126126130
бронь	130006567
броня	131361039
брошь	99846424
брэнд	82469698
брюки	89995918
брюхо	95507964
бубен	97827573
бубна	95623368
бугай	76455389
бугор	109193425
будда	76836605
будка	94490074
будни	107341620
буква	102368675
букет	113263131
букля	71320207
булат	115635631
булка	101668130
бурак	103354781
буран	119540193
бурда	100753430
бурка	103354781
бурун	79053185
бурят	86974359
бутан	127244338
бутик	107725060
бутон	142171811
бутса	121032497
буфер	89241264
буфет	96945409
бухта	98309633
быдло	110344481
былое	137983576
былье	91353708
бытие	129113033
бычок	98015851
бьюик	74863706
вагон	161235729
вазон	161000993
вакса	108698236
валек	145992583
валет	159960084
валик	140454512
валка	103301370
валок	158715851
валуй	104999875
валун	132732494
вальс	122059554
ванна	97256608
варан	121173433
варка	104988021
варна	121173433
варяг	106038277
ватка	112692166
вафля	97122733
вахта	99942873
вдова	133884326
ведро	160005356
велик	142658717
венгр	131942278
венец	101899620
веник	154267424
венок	172528763
вепрь	112524942
верба	138077532
верея	99677842
верфь	99659117
весло	170893627
весна	167574861
весть	133654555
ветвь	106027515
ветер	121159727
ветка	155383379
ветла	159960084
вечер	96838950
вешка	127441147
взвод	101727222
вздор	125644047
вздох	106631398
взлет	127802980
взлом	125108338
взмах	92854867
взнос	148141025
взрыв	64773389
видак	133276456
видео	173241673
видик	92789448
видок	148203929
визит	100034735
вилка	140454512
вилла	122801043
винил	116152916
винцо	151776030
виола	178215524
вираж	129234610
вирус	124873438
вирши	87679424
виски	105364370
висок	160778851
висяк	115503455
виток	164772781
вихор	144319343
вихрь	97689475
вишня	107740565
вклад	118353488
влага	94212541
вобла	149114149
вогул	122385726
водка	151537795
вожак	141232593
вождь	106928847
вожжа	123579124
возня	130653070
возок	104328573
война	158777351
вокал	158715851
волан	174901263
волна	174901263
волок	118228843
волос	128202414
волхв	105479550
вольт	140980957
вопль	123561559
ворог	110826665
ворон	136100906
ворот	133882995
ворох	107166201
ворье	153737851
вотум	139414942
вояка	146624762
враки	142141163
враль	118349339
врата	118955522
время	115880902
втора	174370003
вуаль	107678226
въезд	89189406
выбор	119909733
вывих	74583978
вывод	102993259
вывоз	96271045
выгон	130344662
выгул	76567186
выдел	112500165
выдох	107897435
выдра	111982611
выезд	98599895
вызов	96271045
выкуп	77627413
вылет	129069017
вылов	110171315
вынос	149407062
выпад	102267358
выпас	114842280
вырез	107464602
высев	102844913
выход	107897435
вычет	114139036
вышка	94345875
вьюга	83987695
вязка	99540185
вятич	109144109
газик	112188163
газон	146634914
гайка	72811379
галка	88935291
галоп	140897875
галун	118366415
гамак	82908177
гамма	65254708
гараж	77715389
гарем	131862746
гаусс	89924400
гашиш	89883528
гвалт	125833511
гейша	101527861
гелий	116745431
генез	93424638
гений	128354138
геном	156712275
герой	136693421
гетто	138291304
гжель	87017556
гидра	125173733
гиена	162734884
глава	94212541
главк	111866010
гладь	95118553
глина	142273845
глист	127195966
глубь	60876906
глушь	56503877
глыба	88929530
гнида	135095789
гниль	110571450
гобой	78137150
говно	120748721
говор	110826665
гогот	95600091
годик	133837850
годок	96684708
голец	131339315
голод	101261413
голос	113836335
голыш	99483974
гольф	96329655
гомик	134988792
гомон	114021062
гонец	142948022
гонка	155958479
гонор	121734827
гопак	136321170
горец	133025966
горка	146036423
горло	110126120
город	102948064
горох	92800122
гость	132011744
грамм	89171533
грант	138428324
грань	115591967
графа	74304220
греза	123989590
греча	122959879
грива	133052334
гриль	100649394
грипп	83836179
гроза	136712858
гросс	115522986
груда	101266303
грудь	69563908
грунт	111187028
груша	89892923
грыжа	87311330
гряда	98159676
грязь	59735067
гуашь	74760711
губка	88002596
гудок	109930420
гуляш	57858349
гумно	127266774
гумус	65640452
гурия	93019404
гусак	107577869
гусар	113841225
гусик	104244003
гусли	108820708
давка	96123314
дайка	79298857
дамба	79793953
дамка	89395655
дартс	138703961
дачка	80492788
дверь	113375488
дебет	97416068
дебил	125178414
дебит	134569210
дебош	124888317
дебри	126865065
дебют	100636783
девиз	126157096
девка	138814527
дедка	115883808
дедок	130811281
дезик	120879846
декан	149722689
декор	154728106
дележ	84720421
делец	82412312
демон	163199753
денди	128735354
денек	109235681
дерби	126865065
дерен	115499037
дерма	138350224
десна	159696260
детка	147504778
дефис	123859260
джинн	90791057
дзюдо	82017218
диван	149461868
диета	167004451
дилер	141043472
динар	150447974
динго	150023262
диско	152900250
дичок	132573403
длань	120392794
длина	148761323
днище	130557830
добро	102435191
довод	93397318
догма	135721307
дождь	83998128
дозор	102713328
дойка	134713338
докер	154728106
домен	163199753
домик	141476270
домна	160995548
донец	149435500
донка	162445957
донна	144792488
донор	128222305
донос	131932520
доска	156234116
досуг	119903991
досье	149569465
доход	75370775
дочка	135907269
драже	126894080
драйв	108492932
драка	97109420
драма	95659011
драфт	112412668
древо	160005356
дрейф	89102165
дрель	112674943
дрема	138350224
дробь	111219804
дрова	157801151
дрога	143435072
дрожь	107914953
дрозд	102713328
дрофа	136206179
друид	89367797
дрянь	91731522
дубль	67364384
дубок	109417547
дувал	113945731
дудка	86438307
дужка	91185223
дукат	118059277
думец	89630910
думка	102641367
дупло	120144057
дурак	110355132
дурка	110355132
дутье	111394626
душка	90117045
душок	105044518
дуэль	60922724
дылда	87365241
дымка	98991596
дымок	113919069
дырка	106705361
дышло	105971452
дядик	79997814
дятел	121733560
евнух	117610701
еврей	95645019
егерь	83957291
ездок	139141185
елань	148031889
ересь	103019691
ершик	125093387
есаул	146281147
ессей	76424515
жабра	77202516
жажда	60286042
жакет	137199576
жарка	86804218
жатва	99785613
жатка	94508363
желоб	133134551
желчь	85753109
жених	123334328
женка	139417487
жердь	95191685
жерех	76259130
жерло	148999609
жесть	115470752
жетон	168312461
живец	109960797
живой	126351520
живот	151866228
жизнь	92853456
жизня	94207928
жилет	138442415
жилец	109260252
жилка	122270709
жилье	115606058
жинка	133879416
жираф	107639638
жирок	138884833
жисть	109932681
житие	116212241
житье	124996854
жокей	126612341
жрица	108742698
жулик	95029413
жулье	91698628
жупел	97115587
жучка	83433298
жучок	98360771
забег	108124532
забой	118389422
забор	136199985
завал	93977805
завет	146059814
